channel_name,date,cost,ihc,ihc_revenue,CPO,ROAS
Affiliate & Partnerships,2023-08-29,525.36,0.0,0.0,0,0.0
Affiliate & Partnerships,2023-08-30,574.644,0.0,0.0,0,0.0
Affiliate & Partnerships,2023-08-31,572.769,0.1027,4.151134,5577.108081791626,0.007247483715075362
Affiliate & Partnerships,2023-09-01,413.205,8.3276,418.834899,49.61873769153177,1.0136249537154682
Affiliate & Partnerships,2023-09-02,395.707,2.3197,97.27910200000001,170.5854205285166,0.24583619192988754
Affiliate & Partnerships,2023-09-03,430.716,3.9997,177.041034,107.68707653073982,0.4110389073078316
Affiliate & Partnerships,2023-09-04,602.512,6.6114,342.813138,91.1322866563814,0.5689731291658922
Affiliate & Partnerships,2023-09-05,218.928,4.3215,199.687287,50.66018743491843,0.9121139689761018
Affiliate & Partnerships,2023-09-06,190.409,4.8005,194.48095,39.66440995729611,1.0213852811579285
Affiliate & Partnerships,2023-09-07,209.49,6.0981,348.199852,34.35332316623211,1.6621311375244643
Direct Traffic,2023-08-29,0.846,2.3711,91.891929,0.35679642360086034,108.61930141843972
Direct Traffic,2023-08-30,6.841,3.3494,212.071092,2.0424553651400252,31.000013448326268
Direct Traffic,2023-08-31,3.661,8.639,436.893528,0.42377589998842463,119.33721059819722
Direct Traffic,2023-09-01,3.602,68.0307,4364.069862,0.052946684364558946,1211.568534702943
Direct Traffic,2023-09-02,4.757,64.7095,4874.928888,0.07351316267317781,1024.7906007988229
Direct Traffic,2023-09-03,1.352,80.3173,4953.741852,0.016833235180963503,3664.01024556213
Direct Traffic,2023-09-04,7.974,92.5194,7460.546944,0.08618732936011259,935.609097567093
Direct Traffic,2023-09-05,4.608,39.2281,3053.685882,0.11746681587943336,662.6922486979167
Direct Traffic,2023-09-06,0.0,35.4239,1826.343652,0.0,0
Direct Traffic,2023-09-07,2.562,32.7138,1909.407153,0.07831557324431891,745.2799192037471
FB & IG Ads,2023-08-29,10302.799,0.8966,50.095194,11490.964755743924,0.004862289752522591
FB & IG Ads,2023-08-30,10348.765,0.1463,11.408474000000002,70736.60287081338,0.0011023995616868294
FB & IG Ads,2023-08-31,10311.621,1.2644,18.558546,8155.347200253084,0.0017997699876673126
FB & IG Ads,2023-09-01,10150.074,26.124200000000002,1020.985007,388.5314765619617,0.10058892250440735
FB & IG Ads,2023-09-02,10467.036,26.3767,1247.394986,396.82886790235324,0.11917365966831489
FB & IG Ads,2023-09-03,11424.588,28.3808,1076.503028,402.54636937647984,0.09422685772125876
FB & IG Ads,2023-09-04,10499.175,21.002,639.455436,499.91310351395106,0.06090530313096029
FB & IG Ads,2023-09-05,8227.969000000001,14.0631,265.482263,585.0750545754493,0.032265831701602174
FB & IG Ads,2023-09-06,8299.713,21.9658,830.584806,377.84706225131794,0.10007391894153449
FB & IG Ads,2023-09-07,8066.877,15.7816,354.834985,511.15710701069605,0.04398666113292666
Lead Generation,2023-08-29,1233.361,0.0,0.0,0,0.0
Lead Generation,2023-08-30,1202.177,0.0,0.0,0,0.0
Lead Generation,2023-08-31,1203.171,0.0,0.0,0,0.0
Lead Generation,2023-09-01,1189.584,0.0,0.0,0,0.0
Lead Generation,2023-09-02,1201.282,0.0,0.0,0,0.0
Lead Generation,2023-09-03,1256.2079999999999,0.0,0.0,0,0.0
